Timestamp,Rank,Ticker,Mentions,Sentiment,Price,Change
2025-08-03 11:03:50,1,1,UNH,333 (19%),1 ➖,
2025-08-03 11:03:50,2,2,NET,154 (9%),97 ⬆️⬆️⬆️,
2025-08-03 11:03:50,3,3,SPY,67 (4%),2 ⬇️,
2025-08-03 11:03:50,4,4,TSLA,59 (3%),3 ⬇️,
2025-08-03 11:03:50,5,5,PLTR,58 (3%),6 ⬆️,
2025-08-03 11:03:50,6,6,NVDA,45 (3%),7 ⬆️,
2025-08-03 11:03:50,7,7,OPEN,44 (3%),5 ⬇️,
2025-08-03 11:03:50,8,8,SRPT,41 (2%),269 ⬆️⬆️⬆️,
2025-08-03 11:03:50,9,9,AMD,40 (2%),9 ➖,
2025-08-03 11:03:50,10,9,RDDT,40 (2%),4 ⬇️,
2025-08-03 11:03:50,11,11,BTC,39 (2%),21 ⬆️⬆️,
2025-08-03 11:03:50,12,12,CVNA,24 (1%),8 ⬇️,
2025-08-03 11:03:50,13,13,BLS,21 (1%),15 ⬆️,
2025-08-03 11:03:50,14,14,TACO,20 (1%),12 ⬇️,
2025-08-03 11:03:50,15,14,INTC,20 (1%),17 ⬆️,
